gold;num_bets;price
3295.6;48;19236
3295.6;27;17000
3295.6;30;17000
3295.6;64;17000
3295.6;22;16900
3295.6;23;17000
3295.6;27;17000
3295.6;30;15841
3295.6;24;16293
3295.6;37;24590
3295.6;37;21665
3295.6;32;25554
3175.81;35;21441
3175.81;10;21995
3175.81;68;17602
3175.81;71;17243
3175.81;70;17172
3175.81;54;17229
3175.81;77;17132
3175.81;55;17058
3175.81;43;20528
3175.81;54;17675
3175.81;46;16960
3175.81;58;17243
3175.81;44;13202
3175.81;35;20928
3175.81;73;13945
3175.81;73;13999
3175.81;48;13999
3152.67;55;14835
3152.67;61;13252
3152.67;38;13447
3152.67;65;14137
3152.67;38;13126
3152.67;62;16652
3152.67;73;13577
3152.67;30;13447
3152.67;20;12850
3152.67;33;13044
3152.67;32;22819
3152.67;32;25554
3152.67;21;13499
3152.67;30;13659
3152.67;31;13497
3151.82;29;23762
3151.82;26;25625
3151.82;60;16270
3151.82;29;17712
3151.82;42;14991
3151.82;78;14268
3151.82;27;16908
3151.82;20;13674
3151.82;25;13674
3151.82;26;14491
3151.82;49;17540
3151.82;24;13499
3151.82;25;17712
3151.82;13;13828
3151.82;17;14538
3151.82;15;14533
3151.82;64;20001
3097.53;39;17660
3097.53;50;13400
3097.53;33;13044
3097.53;42;13252
3097.53;56;13577
3097.53;33;13706
3097.53;30;12300
3097.53;49;12612
3097.53;118;12990
3097.53;109;13003
3097.53;49;16694
3097.53;67;13227
3097.53;77;13252
3097.53;35;13274
3065.17;62;14625
3065.17;33;17660
3065.17;31;13706
3065.17;52;13895
3065.17;46;14348
3065.17;42;14348
3065.17;63;14149
3065.17;47;14401
3065.17;70;13715
3065.17;19;13796
3065.17;30;14401
3065.17;37;14491
3065.17;44;13148
3065.17;23;14711
3065.17;33;14438
3065.17;28;13455
3065.17;37;13339
3065.17;38;13655
3065.17;23;13456
3065.17;40;13405
3065.17;26;14001
3065.17;31;13330
3065.17;31;13252
3065.17;32;13000
3065.17;40;18269
3031.25;25;22588
3031.25;32;21539
3031.25;41;13120
3031.25;53;13120
3031.25;30;13120
3031.25;75;13120
3031.25;61;13120
3031.25;11;15375
3031.25;27;13785
3031.25;36;9999
3031.25;26;13891
3031.25;16;13213
3031.25;21;13553
2958.18;39;28499
2958.18;32;46637
2958.18;11;16400
2958.18;39;12403
2958.18;32;12403
2958.18;19;12403
2958.18;23;12403
2958.18;2;12403
2958.18;32;12403
2958.18;26;12403
2958.18;51;15115
2958.18;24;12403
2958.18;24;12403
2958.18;18;12403
2958.18;22;12403
2958.18;32;12998
2958.18;25;12300
2958.18;10;12300
2958.18;82;12186
2958.18;32;13734
2958.18;29;13070
2958.18;21;13070
2958.18;23;12403
2958.18;59;22537
2975.68;47;25886
2975.68;21;26481
2975.68;22;15169
2975.68;42;12414
2975.68;33;13179
2975.68;26;13792
2975.68;33;12791
2975.68;22;12849
2975.68;32;13792
2975.68;39;12612
2975.68;48;12785
2975.68;51;12997
2975.68;54;12370
2975.68;43;12370
3000.21;19;17263
3000.21;47;12393
3000.21;54;12799
3000.21;29;13200
3000.21;23;12414
3000.21;30;12256
3000.21;7;13200
3000.21;9;13580
3000.21;37;14991
3000.21;25;13032
3000.21;37;13118
3000.21;49;12370
3000.21;13;13692
3000.21;31;70212
3000.21;13;13463
3000.21;15;13032
3000.21;13;13139
3000.21;11;13032
3000.21;32;13405
3000.21;7;14005
3000.21;39;13325
3000.21;17;13336
3046.02;26;22833
3046.02;25;48461
3046.02;28;15841
3046.02;37;14001
3046.02;16;13580
3046.02;38;12181
3046.02;34;12300
