gold;num_bets;price
4886.56;53;42299
4886.56;54;51500
4729.52;56;36221
4729.52;48;51110
4729.52;53;51499
4752.55;41;36387
4752.55;32;50915
4752.55;20;51499
4770.62;29;38887
4770.62;41;50915
4635.01;20;31147
4635.01;26;34461
4733.17;24;34850
4659.27;43;52221
4693.26;33;26856
4693.26;33;26876
4548.31;37;28787
4118.45;43;25570
4118.45;36;25625
4121.14;41;23990
3789.36;57;21309
3789.36;69;21451
3773.95;38;22612
3773.95;33;28899
4016.12;21;21234
4016.12;20;20462
4054.15;33;29899
4054.15;23;27699
3494.33;33;22262
3471.31;50;20499
3471.31;52;25554
3295.6;46;27037
3295.6;37;24590
3295.6;32;25554
3151.82;64;20001
3097.53;39;17660
3065.17;33;17660
3065.17;40;18269
3000.21;19;17263
3046.02;26;22833
3046.02;28;15841
3046.02;6;20500
3043.19;42;23692
3060.14;34;17388
3060.14;40;23390
3065.02;21;26025
3122.35;22;26650
3159.17;30;18486
3159.17;39;17660
3159.17;31;22666
3142.18;58;22724
3290;35;22399
3291.97;22;20217
3194.86;39;17388
3194.86;40;24190
2916.76;116;28700
2916.76;65;22858
2892.77;47;15226
2892.77;31;20982
2892.77;69;15938
2834.84;7;18450
2909.22;34;16972
2909.22;41;17036
2840.7;47;22500
2761.3;23;15456
2761.3;43;16549
2761.3;41;44900
2743.48;37;20367
2743.48;19;17164
2800.97;24;15168
2678.47;39;22072
2638.46;29;21110
2708.13;70;25338
2700.6;25;18862
2670.47;36;22060
2670.47;28;23332
2620.2;55;22300
2715.75;35;17425
2706.51;35;26989
2706.51;35;16154
2759.07;42;15456
2721.38;18;26923
2721.38;21;38471
2804.29;15;19995
2768.63;35;22630
2768.63;29;14123
2772.87;21;22616
2790.18;42;25846
2740.2;24;34461
2769.98;28;20209
2658.2;51;19191
2611.15;25;13792
2626.57;15;19350
2626.57;19;21978
2626.57;53;17384
2579.54;44;29177
2524.47;21;20462
2531.49;49;20428
2591.76;33;23762
2591.76;30;15167
2591.76;31;27776
2679.26;29;16368
2629.69;37;17928
2638.52;47;22000
2601.85;19;15841
2601.85;25;27776
2532.51;35;19352
2532.51;21;15375
2459.34;26;25107
2495.78;50;16010
2474.18;24;18421
2495.62;24;30000
2551.13;53;21525
2551.13;31;15231
2604.24;13;15077
2604.24;17;15077
2626.65;23;13021
2582.15;31;19164
2613.35;5;17231
2562.52;39;30908
2562.52;24;17832
2587.5;19;14236
2587.5;13;16407
2653.78;7;15276
2634.19;19;22483
2634.19;31;18555
2664.83;30;18308
2664.83;37;13791
2770.65;21;19987
2770.65;27;13792
2481.73;25;17832
2481.73;41;15371
2433.3;29;15226
2433.3;35;14976
2425.42;19;20109
2425.42;53;19786
2433.41;26;16810
2393.01;46;18269
2393.01;58;18555
2419.99;29;17488
2419.99;54;20500
2463.96;79;17403
2432.6;15;18735
2448.38;5;15375
2433.29;25;21732
2433.29;33;20499
2400.97;28;30034
2400.97;41;16808
