gold;grade;price
2532.51;64;30184
2532.51;62;13659
2532.51;63;15375
2532.51;61;16108
2478.8;65;35538
2478.8;64;17425
2459.34;63;25107
2459.34;65;42309
2495.78;64;23641
2495.78;64;17183
2495.78;58;12798
2495.78;62;16913
2495.78;63;16010
2474.18;64;24743
2474.18;65;61142
2474.18;64;35040
2474.18;63;18421
2495.62;63;30000
2495.62;58;13077
2555.01;64;17488
2551.13;65;32169
2551.13;63;21525
2551.13;65;51250
2551.13;64;16714
2551.13;58;12497
2551.13;64;22550
2551.13;63;15231
2604.24;64;24718
2604.24;64;29077
2604.24;63;15077
2604.24;63;15077
2604.24;62;17425
2604.24;61;15000
2626.65;64;38056
2626.65;65;35006
2626.65;58;13032
2626.65;63;13021
2582.15;63;19164
2582.15;64;17061
2613.35;64;20367
2613.35;58;14350
2613.35;61;14998
2613.35;63;17231
2613.35;64;23332
2562.52;63;30908
2562.52;65;38041
2562.52;64;26923
2562.52;63;17832
2587.5;65;48127
2587.5;64;40680
2587.5;58;16532
2587.5;63;14236
2587.5;63;16407
2653.78;64;29977
2653.78;65;56202
2653.78;63;15276
2634.19;63;22483
2634.19;64;18154
2634.19;63;18555
2634.19;64;18842
2634.19;58;12684
2631.9;64;27577
2631.9;64;24600
2664.83;63;18308
2664.83;65;38041
2664.83;63;13791
2664.83;58;11685
2664.83;64;17488
2664.83;61;14438
2770.65;64;24627
2770.65;63;19987
2770.65;63;13792
2494.46;64;30154
2494.46;65;61117
2494.46;64;17832
2494.46;64;16549
2494.46;65;53332
2481.73;63;17832
2481.73;64;22616
2481.73;63;15371
2433.3;64;17991
2433.3;63;15226
2433.3;63;14976
2433.3;61;15554
2425.42;63;20109
2425.42;65;51250
2425.42;63;19786
2425.42;58;13078
2425.42;65;53332
2433.41;64;23692
2433.41;58;13325
2433.41;62;16342
2433.41;63;16810
2433.41;64;17063
2433.41;64;17650
2433.41;64;18887
2393.01;64;22616
2393.01;65;61116
2393.01;63;18269
2393.01;63;18555
2393.01;64;38887
2419.99;63;17488
2419.99;63;20500
2463.96;63;17403
2463.96;58;14348
2463.96;58;14442
2463.96;64;19431
2432.6;63;18735
2432.6;65;43747
2432.6;64;21399
2448.38;64;23776
2448.38;63;15375
2448.38;64;27776
2433.29;64;28700
2433.29;65;61110
2433.29;64;29929
2433.29;58;15943
2433.29;64;29233
2433.29;63;21732
2433.29;63;20499
2400.97;63;30034
2400.97;63;16808
2400.97;65;65611
2400.97;62;16665
